0,5,10,2102734,2103224,224,907,5$38
1,49,356,4707722,4707831,349,589,47
2,28,753,2976258,2976720,598,644,
3,38,841,1205979,1206345,281,977,34$25
4,57,84,2550211,2550290,432,305,
5,38,716,3898776,3898956,946,132,2$34
6,75,138,5421316,5421534,195,289,34
7,85,234,4961615,4961624,425,546,15
8,98,580,4660952,4661242,985,243,2$1
9,12,385,1261761,1262016,542,487,23
10,23,51,3043147,3043222,220,518,
11,98,879,363069,363538,528,312,42
12,64,722,894897,895228,816,769,
13,14,849,1845053,1845132,1,118,
14,73,637,4503702,4504290,379,585,13$38
15,56,269,3015027,3015324,595,521,
16,4,905,957270,957671,811,439,30
17,16,698,2054466,2054976,539,418,48
18,37,206,822574,823125,852,588,
19,2,745,639388,639893,236,581,
20,0,628,2232853,2233224,734,155,21$24
21,71,852,2254848,2255221,375,696,35$29
22,81,639,354893,355310,937,355,30$18
23,44,658,4882462,4883005,911,944,43$33
24,91,38,3819012,3819073,176,582,
25,80,315,3772263,3772765,608,725,
26,20,677,1768730,1768758,666,198,
27,64,949,2834261,2834319,639,907,
28,31,384,2238093,2238672,572,761,38$2
29,5,349,5363128,5363626,175,514,6$44
30,44,415,6912096,6912547,411,762,
31,71,723,4424998,4425257,731,283,13$45
32,4,909,1752688,1752842,353,607,
33,57,283,6709048,6709542,50,100,2$7
34,49,20,6017599,6018077,899,579,9
35,17,343,5024234,5024547,140,406,
36,21,328,5307098,5307561,727,234,49
37,87,996,4593974,4594430,390,347,46$26
38,78,427,2698147,2698596,757,754,
39,65,273,4246635,4246906,782,979,
40,22,671,5440842,5441253,328,997,47
41,40,716,4811877,4812210,945,752,44
42,58,88,1722745,1722776,542,88,
43,33,487,3660013,3660293,918,200,
44,3,981,945618,945798,567,695,0$0
45,91,720,4261155,4261172,701,719,46$20
46,24,284,5414793,5415074,732,633,33$29
47,74,935,1881793,1882124,911,337,
48,34,351,1609478,1609801,928,88,4$2
49,88,736,3849739,3850204,606,609,0$2
50,24,257,7883629,7883929,770,903,29$37
51,51,759,7780683,7781165,240,828,24$27
52,28,609,5334397,5334658,963,821,45$16
53,42,948,4016232,4016490,19,110,2$46
54,47,236,7620052,7620117,4,917,26$39
55,36,1,4949177,4949325,413,747,16$38
56,13,884,2453562,2453691,719,764,32
57,99,454,4817959,4818544,13,100,
58,51,74,953540,953680,66,857,4$7
59,16,255,7519957,7520172,325,496,43$35
60,35,751,4105001,4105445,767,275,3
61,41,672,4748602,4748836,751,900,14$27
62,3,326,4050662,4050676,572,782,
63,76,197,15252,15406,202,506,42
64,28,884,7472039,7472198,237,797,49$35
65,87,419,6506272,6506697,712,620,16$43
66,26,185,2964522,2965084,241,612,27
67,48,341,2839538,2839644,636,65,48
68,94,727,1318769,1318824,631,720,
69,77,880,2397856,2398297,899,14,
70,29,150,3662223,3662287,539,360,10$35
71,37,560,2729805,2729997,889,29,
72,57,529,3807933,3808486,1,278,11
73,62,151,695988,696352,807,287,30$25
74,5,378,6732683,6732946,738,18,
75,21,945,5338405,5338595,731,383,47$36
76,29,886,7403960,7404007,946,561,30$29
77,53,724,3555407,3555735,350,317,1$3
78,12,410,485709,485897,594,747,
79,36,604,3475204,3475406,43,614,45$4
80,92,473,6092653,6092730,770,599,
81,0,18,5184855,5185181,719,200,25
